Abelsonite
Abenakiite - ( Ce )
Abernathyite
Abhurite
Abswurmbachite
Acanthite
Acetamide
Actinolite
Acuminite
Adamite
Adamsite - ( Y )
Adelite
Admontite
Aegirine
Aenigmatite
Aerinite
Aerugite
Aeschynite
Aeschynite - ( Ce )
Aeschynite - ( Nd )
Aeschynite - ( Y )
Afghanite
Afwillite
Agardite
Agardite - ( La )
Agardite - ( Y )
Agrellite
Agrinierite
Aguilarite
Aheylite
Ahlfeldite
Aikinite
Ajoite
Akaganeite
Akatoreite
Akdalaite
Akermanite
Akhtenskite
Akimotoite
Akrochordite
Aksaite
Aktashite
Alabandite
Alacranite
Alamosite
Alarsite
Albite
Albrechtschraufite
Aldermanite
Aldzhanite
Aleksite
Alforsite
Algodonite
Aliettite
Allactite
Allanite
Allanite - ( Ce )
Allanite - (La)
Allanite - (Y)
Allargentum
Alleghanyite
All Minerals
Alloclasite
Allophane
Alluaivite
Alluaudite
Almandine
Alstonite
Altaite
Althausite
Althupite
Altisite
Alum (General Term)
Aluminite
Aluminium
Aluminoceladonite
Aluminocopiapite
Aluminokatophorite
Aluminotschermakite
Aluminum
Alumohydrocalcite
Alumoklyuchevskite
Alumopharmacosiderite
Alumotantite
Alumotungstite
Alunite
Alunogen
Alvanite
Amakinite
Amalgam
Amarantite
Amarillite
Amber
Amblygonite
Ameghinite
Amesite
Amicite
Aminoffite
Ammonioalunite
Ammonioborite
Ammoniojarosite
Ammonioleucite
Amphibole Group
Amstallite
Analcime
Anandite
Anapaite
Anatase
Ancylite - ( Ce )
Ancylite - ( La )
Andalusite
Andersonite
Andesine
Andorite
Andradite
Andremeyerite
Androsite - ( La )
Anduoite
Angelellite
Anglesite
Anhydrite
Anilite
Ankangite
Ankerite
Annabergite
Annite
Anorthite
Anorthoclase
Antarcticite
Anthoinite
Anthonyite
Anthophyllite
Antigorite
Antimonpearceite
Antimonselite
Antimony
Antlerite
Anyuiite
Apachite
ApatiteGroup
Aphthitalite
Apjohnite
Aplowite
Apophyllite
Apuanite
Aragonite
Arakiite
Aramayoite
Aravaipaite
Arcanite
Archerite
Arctite
Arcubisite
Ardaite
Ardealite
Ardennite
Arfvedsonite
Argentojarosite
Argentopentlandite
Argentopyrite
Argentotennantite
Argutite
Argyrodite
Arhbarite
Aristarainite
Armalcolite
Armangite
Armenite
Armstrongite
Arnhemite
Arrojadite
Arsenbrackebuschite
Arsendescloizite
Arsenic
Arseniopleite
Arseniosiderite
Arsenobismite
Arsenoclasite
Arsenocrandallite
Arsenoflorencite - ( Ce )
Arsenogorceixite
Arsenogoyazite
Arsenohauchecornite
Arsenolamprite
Arsenolite
Arsenopalladinite
Arsenopyrite
Arsenosulvanite
Arsenpolybasite
Arsentsumebite
Arsenuranospathite
Arsenuranylite
Arthurite
Artinite
Artroeite
Arupite
Arzakite
Asbecasite
Asbestos
Asbolane
Aschamalmite
Ashanite
Ashburtonite
Ashcroftine - ( Y )
Ashoverite
Asisite
Aspidolite
Asselbornite
Astrocyanite - ( Ce )
Astrophyllite
Atacamite
Atelestite
Athabascaite
Atheneite
Atlasovite
Atokite
Attakolite
Aubertite
Augelite
Augite
Aurantimonate
Aurichalcite
Auricupride
Aurorite
Aurostibite
Austinite
Autunite
Averievite
Avicennite
Avogadrite
Awaruite
Azoproite
Azurite
Babefphite
Babingtonite
Babkinite
Baddeleyite
Bafertisite
Baghdadite
Bahianite
Baileychlore
Baiyuneboite
Baiyuneboite-(Ce)
Bakerite
Bakhchisaraitsevite
Baksanite
Balangeroite
Balavinskite
Balipholite
Balkanite
Balyakinite
Bambollaite
Bamfordite
Banalsite
Bandylite
Bannermanite
Bannisterite
Baotite
Bararite
Baratovite
Barberiite
Barbertonite
Barbosalite
Barentsite
Bariandite
Baricite
Bariomicrolite
Bario-orthojoaquinite
Bariopyrochlore
Bariosincosite
Barite
Barium-pharmacosiderite
Barnesite
Barquillite
Barrerite
Barringerite
Barringtonite
Barroisite
Barstowite
Bartelkeite
Bartonite
Barylite
Barysilite
Barytocalcite
Barytolamprophyllite
Basaluminite
Bassanite
Bassetite
Bastnasite
Bastnasite - ( Ce )
Bastnasite - ( La )
Bastnasite - ( Y )
Batiferrite
Batisite
Baumhauerite
Baumhauerite-2a
Baumite
Baumstarkite
Bauranoite
Bauxite (general Term)
Bavenite
Bayankhanite
Bayerite
Bayldonite
Bayleyite
Baylissite
Bazhenovite
Bazirite
Bazzite
Bearsite
Bearthite
Beaverite
Bechererite
Becquerelite
Bederite
Behierite
Behoite
Beidellite
Belendorffite
Belkovite
Bellbergite
Bellidoite
Bellingerite
Belloite
Belovite - ( Ce )
Belovite - ( La )
Belyankinite
Bementite
Benauite
Benavidesite
Benitoite
Benjaminite
Benleonardite
Benstonite
Bentorite
Benyacarite
Beraunite
Berborite
Berborite-1t
Berdesinskiite
Berezanskite
Bergenite
Bergslagite
Berlinite
Bermanite
Bernalite
Bernardite
Berndtite
Berndtite-2t
Berndtite-4h
Berryite
Berthierine
Berthierite
Bertossaite
Bertrandite
Beryl
Beryllite
Beryllonite
Berzelianite
Berzeliite
Bessmertnovite
Beta-fergusonite - (Ce)
Beta-fergusonite - (Nd)
Beta-fergusonite - (Y)
Betafite
Betekhtinite
Betpakdalite
Beudantite
Beusite
Beyerite
Bezsmertnovite
Bianchite
Bicchulite
Bideauxite
Bieberite
Biehlite
Bigcreekite
Bijvoetite - ( Y )
Bikitaite
Bilibinskite
Bilinite
Billietite
Billingsleyite
Bindheimite
Biotite
Biphosphammite
Biringuccite
Birnessite
Bischofite
Bismite
Bismoclite
Bismuth
Bismuthinite
Bismutite
Bismutocolumbite
Bismutoferrite
Bismutohauchecornite
Bismutomicrolite
Bismutopyrochlore
Bismutostibiconite
Bismutotantalite
Bityite
Bixbyite
Bjarebyite
Blakeite
Blatonite
Blatterite
Bleasdaleite
Blixite
Blodite
Blossite
Bobfergusonite
Bobierrite
Bogdanovite
Boggildite
Boggsite
Bogvadite
Bohdanowiczite
Bohmite
Bokite
Boleite
Bolivarite
Boltwoodite
Bonaccordite
Bonattite
Bonshtedtite
Boothite
Boracite
Boralsilite
Borax
Borcarite
Borishanskiite
Bornemanite
Bornhardtite
Bornite
Borodaevite
Boromuscovite
Borovskite
Bostwickite
Botallackite
Botryogen
Bottinoite
Boulangerite
Bournonite
Boussingaultite
Boussingualtite
Bowieite
Boyleite
Brabantite
Bracewellite
Brackebuschite
Bradleyite
Braggite
Braitschite - ( Ce )
Brammallite
Brandholzite
Brandtite
Brannerite
Brannockite
Brassite
Braunite
Bravoite
Brazilianite
Bredigite
Breithauptite
Brenkite
Brewsterite
Brewsterite - Ba
Brewsterite - Sr
Brezinaite
Brianite
Brianroulstonite
Brianyoungite
Briartite
Brindleyite
Britholite
Britholite - ( Ce )
Britholite - ( Y )
Brizziite
Brochantite
Brockite
Brokenhillite
Bromargyrite
Bromellite
Brookite
Brownmillerite
Brucite
Bruggenite
Brugnatellite
Brunogeierite
Brushite
Buchwaldite
Buckhornite
Buddingtonite
Buergerite
Buetschliite
Bukovite
Bukovskyite
Bulachite
Bultfonteinite
Bunsenite
Burangaite
Burbankite
Burckhardtite
Burkeite
Burpalite
Bursaite
Burtite
Bustamite
Butlerite
Butschliite
Buttgenbachite
Byelorussite-[ce]
Byelorussite - ( Ce )
Bystrite
Bystromite
Bytownite
Cabalzarite
Cabriite
Cacoxenite
Cadmium
Cadmoselite
Cadwaladerite
Cafarsite
Cafetite
Cahnite
Calaverite
Calciborite
Calcio-ancylite
Calcio-ancylite - ( Ce )
