Hydrothermal
Hydrothermal>Breccia
Hydrothermal>Carbonate
Hydrothermal>Oxide
Hydrothermal>Stockwork
Hydrothermal>Sulfate
Hydrothermal>Sulfide
Igneous
Igneous>Plutonic
Igneous>Plutonic>Exotic
Igneous>Plutonic>Felsic
Igneous>Plutonic>Intermediate
Igneous>Plutonic>Mafic
Igneous>Plutonic>Ultramafic
Igneous>Volcanic
Igneous>Volcanic>Exotic
Igneous>Volcanic>Felsic
Igneous>Volcanic>Intermediate
Igneous>Volcanic>Mafic
Igneous>Volcanic>Ultramafic
Metamorphic
Metamorphic>Calc-Silicate
Metamorphic>Eclogite
Metamorphic>Gneiss
Metamorphic>Granofels
Metamorphic>Granulite
Metamorphic>MechanicallyBroken
Metamorphic>Meta-Carbonate
Metamorphic>Metasomatic
Metamorphic>Meta-Ultramafic
Metamorphic>Schist
Metamorphic>Slate
Ore
Ore>Other
Ore>Oxide
Ore>Sulfide
Sedimentary
Sedimentary>Carbonate
Sedimentary>ConglomerateAndOrBreccia
Sedimentary>Evaporite
Sedimentary>Glacial&Paleosol
Sedimentary>Hybrid
Sedimentary>Ironstone
Sedimentary>MixedCarb-Siliciclastic
Sedimentary>MnNoduleAndOrCrust
Sedimentary>Phosphorite
Sedimentary>SiliceousBiogenic
Sedimentary>Siliciclastic
Sedimentary>Volcaniclastic
Unknown
Xenolithic
Xenolithic>Igneous
Xenolithic>Igneous>Plutonic
Xenolithic>Igneous>Plutonic>Exotic
Xenolithic>Igneous>Plutonic>Felsic
Xenolithic>Igneous>Plutonic>Intermediate
Xenolithic>Igneous>Plutonic>Mafic
Xenolithic>Igneous>Plutonic>Ultramafic
Xenolithic>Igneous>Volcanic
Xenolithic>Igneous>Volcanic>Exotic
Xenolithic>Igneous>Volcanic>Felsic
Xenolithic>Igneous>Volcanic>Intermediate
Xenolithic>Igneous>Volcanic>Mafic
Xenolithic>Igneous>Volcanic>Ultramafic
Xenolithic>Metamorphic
Xenolithic>Metamorphic>Calc-Silicate
Xenolithic>Metamorphic>Eclogite
Xenolithic>Metamorphic>Gneiss
Xenolithic>Metamorphic>Granofels
Xenolithic>Metamorphic>Granulite
Xenolithic>Metamorphic>MechanicallyBroken
Xenolithic>Metamorphic>Meta-Carbonate
Xenolithic>Metamorphic>Metasomatic
Xenolithic>Metamorphic>Meta-Ultramafic
Xenolithic>Metamorphic>Schist
Xenolithic>Metamorphic>Slate
